0.05		 	-1.440		 	-1.440 				0.480
0.10		 	-1.284		 	-1.285 				0.596
0.15		 	-1.133		 	-1.126 				0.713
0.20		 	-0.976		 	-0.963 				0.839
0.25 		 	-0.817 			-0.793 				0.972
0.30		 	-0.657		 	-0.616			 	1.112
0.33 		 	-0.550 			-0.497 				1.211
0.35		 	-0.495		 	-0.432			 	1.261
0.40		 	-0.333		 	-0.236			 	1.420
0.45		 	-0.166		 	-0.030			 	1.590
0.50 		  	0 				0.187		 		1.772
0.55		 	0.169 			0.423 				1.971
0.60		 	0.339 			0.682 				2.188
0.65		 	0.511 			0.960 				2.428
0.67 			0.569 			1.059 				2.514
0.70		 	0.686		 	1.275			 	2.698
0.75 			0.860 			1.626 				3.007
0.80 			1.037 			2.039 				3.370
0.85		 	1.215		 	2.545			 	3.815
0.90		 	1.396		 	3.199			 	4.399
0.95		 	1.577		 	4.190			 	5.295
